no,region,house_type,structure,upper_ins_type,lower_ins_type,upper_u,wall_u,lower_u,base_psi_outside,base_psi_inside,window_u,window_attachment_u,window_eta,window_attachement_eta
D-0042,6,戸建,木造,屋根断熱,床断熱,0.69,0.7,0.81,0.53,0.76,4.65,3.59,0.63,0.3
D-0044,3,戸建,木造,天井断熱,基礎断熱,0.35,0.46,-,0.51,0.51,2.33,1.99,0.46,0.27
D-0047,6,戸建,木造,天井断熱,床断熱,0.45,0.56,0.76,0.53,0.76,3.49,2.82,0.51,0.3
D-0050,5,戸建,木造,屋根断熱,床断熱,0.31,0.5,0.36,0.53,0.76,2.33,1.99,0.32,0.21
D-0051,6,戸建,木造,屋根断熱,床断熱,0.31,0.5,0.36,0.53,0.76,2.33,1.99,0.32,0.21
D-0052,6,戸建,木造,屋根断熱,床断熱,0.55,0.61,0.55,0.53,0.76,3.49,2.82,0.63,0.3
D-0053,6,戸建,木造,屋根断熱,基礎断熱,0.53,0.52,-,0.51,0.51,1.9,1.66,0.29,0.19
D-0054,5,戸建,木造,屋根断熱,基礎断熱,0.53,0.52,-,0.44,0.44,2.27,1.94,0.3,0.2
D-0056,5,戸建,木造,屋根断熱,床断熱,0.31,0.61,0.47,0.53,0.76,2.33,1.99,0.32,0.21
D-0057,5,戸建,木造,天井断熱,床断熱,0.61,0.74,0.76,0.53,0.76,3.49,2.82,0.63,0.3
D-0059,6,戸建,木造,天井断熱,床断熱,0.41,0.51,0.92,0.53,0.76,4.65,3.59,0.63,0.3
D-0060,3,戸建,木造,屋根断熱,床断熱,0.44,0.45,0.36,0.37,0.53,2.91,2.41,0.46,0.27
D-0061,7,戸建,木造,天井断熱,基礎断熱,0.3,0.38,-,0.52,0.52,2.33,1.99,0.32,0.21
D-0062,7,戸建,木造,屋根断熱,床断熱,0.44,0.45,0.55,0.53,0.76,2.33,1.99,0.32,0.21
D-0063,5,戸建,木造,屋根断熱,床断熱,0.31,0.56,0.51,0.53,0.76,2.33,1.99,0.32,0.21
D-0065,5,戸建,木造,天井断熱,床断熱,0.23,0.51,0.48,0.53,0.76,2.33,1.99,0.51,0.3
D-0067,6,戸建,木造,天井断熱,基礎断熱,0.16,0.45,-,0.48,0.48,3.49,2.82,0.63,0.3
D-0068,2,戸建,木造,天井断熱,基礎断熱,0.11,0.23,-,0.1,0.1,2.33,1.99,0.46,0.27
D-0070,5,戸建,木造,天井断熱,基礎断熱,0.2,0.5,-,0.52,0.52,2.33,1.99,0.32,0.21
D-0072,6,戸建,木造,天井断熱,床断熱,0.45,0.56,0.47,0.53,0.76,4.07,3.21,0.63,0.3
D-0073,5,戸建,木造,屋根断熱,基礎断熱,0.38,0.45,-,0.52,0.52,1.7,1.5,0.27,0.18
D-0076,6,戸建,木造,天井断熱,床断熱,0.35,0.48,0.46,0.53,0.76,4.07,3.21,0.63,0.3
D-0079,6,戸建,木造,屋根断熱,基礎断熱,0.31,0.5,-,0.5,0.5,3.49,2.82,0.32,0.21
D-0083,5,戸建,木造,天井断熱,床断熱,0.23,0.45,0.51,0.53,0.76,2.33,1.99,0.32,0.21
D-0084,1,戸建,木造,屋根断熱,基礎断熱,0.11,0.32,-,0.22,0.22,1.9,1.66,0.46,0.27
D-0086,4,戸建,木造,屋根断熱,基礎断熱,0.18,0.52,-,0.44,0.44,1.9,1.66,0.29,0.19
D-0089,5,戸建,木造,天井断熱,床断熱,0.24,0.45,0.48,0.53,0.76,2.33,1.99,0.32,0.21
D-0090,5,戸建,木造,天井断熱,床断熱,0.23,0.42,0.68,0.53,0.76,3.49,2.82,0.63,0.3
D-0092,3,戸建,木造,天井断熱,床断熱,0.41,0.51,0.68,0.37,0.53,2.33,1.99,0.51,0.3
D-0093,5,戸建,木造,天井断熱,床断熱,0.45,0.56,0.68,0.53,0.76,4.65,3.59,0.63,0.3
D-0094,5,戸建,木造,天井断熱,床断熱,0.28,0.36,0.72,0.53,0.76,4.07,3.21,0.63,0.3
D-0095,5,戸建,木造,天井断熱,床断熱,0.23,0.51,0.47,0.53,0.76,3.49,2.82,0.32,0.21
D-0096,6,戸建,木造,天井断熱,床断熱,0.45,0.56,0.62,0.53,0.76,4.07,3.21,0.63,0.3
D-0097,6,戸建,木造,天井断熱,床断熱,0.58,0.6,0.5,0.53,0.76,4.07,3.21,0.32,0.21
D-0099,5,戸建,木造,天井断熱,床断熱,0.25,0.46,0.47,0.53,0.76,3.49,2.82,0.51,0.3
D-0104,6,戸建,木造,天井断熱,床断熱,0.45,0.7,0.68,0.53,0.76,4.07,3.21,0.63,0.3
D-0105,5,戸建,木造,屋根断熱,床断熱,0.6,0.56,0.51,0.53,0.76,2.33,1.99,0.32,0.21
D-0106,5,戸建,木造,天井断熱,床断熱,0.45,0.56,0.92,0.53,0.76,2.33,1.99,0.32,0.21
D-0107,5,戸建,木造,天井断熱,床断熱,0.19,0.45,0.35,0.53,0.76,2.33,1.99,0.46,0.27
D-0108,5,戸建,木造,天井断熱,床断熱,0.23,0.39,0.35,0.53,0.76,2.33,1.99,0.51,0.3
D-0109,5,戸建,木造,天井断熱,床断熱,0.45,0.74,0.86,0.53,0.76,2.33,1.99,0.51,0.3
D-0113,6,戸建,木造,天井断熱,床断熱,0.23,0.99,0.68,0.53,0.76,3.49,2.82,0.32,0.21
D-0115,6,戸建,木造,屋根断熱,基礎断熱,0.31,0.56,-,0.66,0.66,2.33,1.99,0.29,0.19
D-0119,5,戸建,木造,屋根断熱,床断熱,0.23,0.55,0.35,0.53,0.76,2.33,1.99,0.29,0.19
D-0120,5,戸建,木造,天井断熱,床断熱,0.23,0.53,0.48,0.53,0.76,3.49,2.82,0.51,0.3
D-0121,5,戸建,木造,天井断熱,床断熱,0.35,0.45,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-0125,5,戸建,木造,天井断熱,床断熱,0.7,0.83,0.81,0.53,0.76,3.49,2.82,0.63,0.3
D-0127,6,戸建,木造,屋根断熱,床断熱,0.31,0.56,0.68,0.53,0.76,2.33,1.99,0.51,0.3
D-0128,6,戸建,木造,天井断熱,床断熱,0.38,0.48,0.55,0.53,0.76,3.49,2.82,0.32,0.21
D-0130,3,戸建,木造,屋根断熱,基礎断熱,0.33,0.43,-,0.5,0.5,1.9,1.66,0.29,0.19
D-0131,6,戸建,木造,天井断熱,床断熱,0.23,0.42,0.48,0.53,0.76,2.33,1.99,0.29,0.19
D-0132,6,戸建,木造,天井断熱,床断熱,0.33,0.42,0.76,0.53,0.76,2.33,1.99,0.32,0.21
D-0133,6,戸建,木造,天井断熱,床断熱,0.33,0.42,0.76,0.53,0.76,2.33,1.99,0.32,0.21
D-0134,6,戸建,木造,天井断熱,床断熱,0.45,0.48,0.92,0.53,0.76,4.07,3.21,0.63,0.3
D-0135,4,戸建,木造,屋根断熱,基礎断熱,0.21,0.19,-,0.38,0.38,1.9,1.66,0.46,0.27
D-0136,5,戸建,木造,屋根断熱,基礎断熱,0.21,0.29,-,0.52,0.52,1.9,1.66,0.29,0.19
D-0137,6,戸建,木造,天井断熱,床断熱,0.41,0.42,0.48,0.53,0.76,2.33,1.99,0.51,0.3
D-0138,5,戸建,木造,天井断熱,床断熱,0.22,0.51,0.35,0.53,0.76,1.9,1.66,0.29,0.19
D-0139,5,戸建,木造,天井断熱,床断熱,0.45,0.42,0.48,0.53,0.76,3.49,2.82,0.32,0.21
D-0140,6,戸建,木造,天井断熱,床断熱,0.58,0.56,0.68,0.53,0.76,4.07,3.21,0.32,0.21
D-0141,6,戸建,木造,天井断熱,床断熱,0.33,0.51,0.62,0.53,0.76,2.33,1.99,0.32,0.21
D-0142,6,戸建,木造,天井断熱,床断熱,0.45,0.74,0.76,0.53,0.76,3.49,2.82,0.32,0.21
D-0143,5,戸建,木造,屋根断熱,床断熱,0.55,0.61,0.55,0.53,0.76,2.33,1.99,0.32,0.21
D-0144,6,戸建,木造,屋根断熱,床断熱,0.25,0.7,0.51,0.53,0.76,3.49,2.82,0.32,0.21
D-0145,6,戸建,木造,屋根断熱,床断熱,0.21,0.51,0.47,0.53,0.76,2.33,1.99,0.51,0.3
D-0146,6,戸建,木造,屋根断熱,基礎断熱,0.32,0.64,-,0.64,0.64,2.33,1.99,0.32,0.21
D-0148,4,戸建,木造,天井断熱,床断熱,0.23,0.51,0.46,0.53,0.76,2.33,1.99,0.29,0.19
D-0149,5,戸建,木造,天井断熱,床断熱,0.45,0.51,0.55,0.53,0.76,3.49,2.82,0.32,0.21
D-0152,5,戸建,木造,天井断熱,床断熱,0.23,0.51,0.51,0.53,0.76,2.33,1.99,0.32,0.21
D-0153,5,戸建,木造,天井断熱,床断熱,0.23,0.51,0.51,0.53,0.76,2.33,1.99,0.32,0.21
D-0154,5,戸建,木造,屋根断熱,床断熱,0.31,0.45,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-0155,5,戸建,木造,天井断熱,床断熱,0.23,0.42,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-0156,5,戸建,木造,屋根断熱,床断熱,0.55,0.7,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-0157,5,戸建,木造,屋根断熱,床断熱,0.31,0.56,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-0158,5,戸建,木造,屋根断熱,床断熱,0.31,0.56,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-0159,5,戸建,木造,屋根断熱,床断熱,0.31,0.45,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-0160,4,戸建,木造,天井断熱,床断熱,0.2,0.51,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-0162,4,戸建,木造,屋根断熱,基礎断熱,0.31,0.61,-,0.55,0.55,2.33,1.99,0.29,0.19
D-0163,6,戸建,木造,屋根断熱,床断熱,0.38,0.43,0.35,0.53,0.76,1.7,1.5,0.27,0.18
D-0164,6,戸建,木造,屋根断熱,床断熱,0.27,0.45,0.38,0.53,0.76,4.07,3.21,0.63,0.3
D-0165,5,戸建,木造,天井断熱,床断熱,0.38,0.48,0.76,0.53,0.76,3.49,2.82,0.51,0.3
D-0171,6,戸建,木造,天井断熱,床断熱,0.23,0.45,0.48,0.53,0.76,3.49,2.82,0.32,0.21
D-0173,6,戸建,木造,天井断熱,床断熱,0.23,0.35,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-0174,6,戸建,木造,天井断熱,床断熱,0.39,0.53,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-0175,6,戸建,木造,屋根断熱,床断熱,0.32,0.53,0.48,0.53,0.76,1.6,1.42,0.24,0.16
D-0176,5,戸建,木造,屋根断熱,基礎断熱,0.47,0.53,-,0.49,0.49,2.33,1.99,0.29,0.19
D-0179,6,戸建,木造,天井断熱,床断熱,0.23,0.48,0.41,0.53,0.76,2.33,1.99,0.29,0.19
D-0184,5,戸建,木造,天井断熱,床断熱,0.28,0.36,0.72,0.53,0.76,4.07,3.21,0.63,0.3
D-0185,6,戸建,木造,天井断熱,床断熱,0.45,0.56,0.92,0.53,0.76,4.07,3.21,0.63,0.3
D-0186,4,戸建,木造,天井断熱,床断熱,0.58,0.7,0.35,0.53,0.76,2.33,1.99,0.46,0.27
D-0190,6,戸建,木造,天井断熱,床断熱,0.49,0.61,0.48,0.53,0.76,3.49,2.82,0.32,0.21
D-0191,6,戸建,木造,天井断熱,床断熱,0.23,0.51,0.35,0.53,0.76,2.27,1.94,0.3,0.2
D-0192,3,戸建,木造,天井断熱,基礎断熱,0.12,0.31,-,0.43,0.43,2.33,1.99,0.46,0.27
D-0195,6,戸建,木造,屋根断熱,基礎断熱,0.55,0.75,-,0.52,0.52,1.9,1.66,0.29,0.19
D-0196,5,戸建,木造,屋根断熱,床断熱,0.3,0.31,0.3,0.53,0.76,4.65,3.59,0.63,0.3
D-0197,5,戸建,木造,天井断熱,床断熱,0.24,0.35,0.47,0.53,0.76,2.33,1.99,0.51,0.3
D-0201,6,戸建,木造,屋根断熱,床断熱,0.38,0.56,0.55,0.53,0.76,4.07,3.21,0.32,0.21
D-0202,6,戸建,木造,天井断熱,床断熱,0.7,0.83,0.72,0.53,0.76,3.49,2.82,0.32,0.21
D-0203,6,戸建,木造,屋根断熱,床断熱,0.5,0.51,0.49,0.53,0.76,3.49,2.82,0.51,0.3
D-0204,5,戸建,木造,屋根断熱,床断熱,0.48,0.5,0.49,0.53,0.76,2.33,1.99,0.32,0.21
D-0205,4,戸建,木造,天井断熱,床断熱,0.18,0.6,0.29,0.53,0.76,1.7,1.5,0.42,0.27
D-0206,6,戸建,木造,天井断熱,床断熱,0.45,0.56,0.55,0.53,0.76,4.65,3.59,0.63,0.3
D-0207,5,戸建,木造,屋根断熱,基礎断熱,0.29,0.52,-,0.44,0.44,1.9,1.66,0.29,0.19
D-0209,6,戸建,木造,屋根断熱,基礎断熱,0.31,0.29,-,0.52,0.52,2.33,1.99,0.46,0.27
D-0210,3,戸建,木造,天井断熱,床断熱,0.41,0.51,0.86,0.37,0.53,2.33,1.99,0.32,0.21
D-0211,4,戸建,木造,屋根断熱,床断熱,0.31,0.61,0.35,0.53,0.76,2.33,1.99,0.29,0.19
D-0212,6,戸建,木造,屋根断熱,基礎断熱,0.24,0.45,-,0.52,0.52,1.9,1.66,0.29,0.19
D-0213,4,戸建,木造,天井断熱,床断熱,0.35,0.45,0.81,0.53,0.76,4.65,3.59,0.63,0.3
D-0214,3,戸建,木造,天井断熱,床断熱,0.38,0.48,0.55,0.37,0.53,2.33,1.99,0.51,0.3
D-0220,5,戸建,木造,天井断熱,床断熱,0.38,0.48,0.47,0.53,0.76,3.49,2.82,0.32,0.21
D-0223,6,戸建,木造,屋根断熱,床断熱,0.55,0.61,0.35,0.53,0.76,1.9,1.66,0.46,0.27
D-0224,6,戸建,木造,天井断熱,基礎断熱,0.23,0.29,-,0.49,0.49,2.33,1.99,0.51,0.3
D-0225,5,戸建,木造,天井断熱,床断熱,0.33,0.42,0.72,0.53,0.76,3.49,2.82,0.32,0.21
D-0226,7,戸建,木造,屋根断熱,床断熱,0.38,0.7,0.62,0.53,0.76,3.49,2.82,0.63,0.3
D-0227,5,戸建,木造,天井断熱,床断熱,0.41,0.51,0.68,0.53,0.76,4.07,3.21,0.63,0.3
D-0231,6,戸建,木造,屋根断熱,基礎断熱,0.31,0.5,-,0.64,0.64,1.9,1.66,0.29,0.19
D-0232,6,戸建,木造,天井断熱,床断熱,0.45,0.56,0.55,0.53,0.76,4.07,3.21,0.51,0.3
D-0233,4,戸建,木造,天井断熱,基礎断熱,0.13,0.26,-,0.51,0.51,1.9,1.66,0.46,0.27
D-0235,6,戸建,木造,天井断熱,床断熱,0.23,0.42,0.48,0.53,0.76,3.49,2.82,0.63,0.3
D-0238,4,戸建,木造,天井断熱,床断熱,0.23,0.61,0.51,0.53,0.76,2.33,1.99,0.46,0.27
D-0239,4,戸建,木造,天井断熱,床断熱,0.23,0.61,0.51,0.53,0.76,2.33,1.99,0.46,0.27
D-0240,4,戸建,木造,天井断熱,床断熱,0.28,0.36,0.49,0.53,0.76,4.07,3.21,0.63,0.3
D-0241,5,戸建,木造,天井断熱,床断熱,0.35,0.6,0.54,0.53,0.76,4.65,3.59,0.63,0.3
D-0242,5,戸建,木造,屋根断熱,床断熱,0.41,0.42,0.33,0.53,0.76,2.33,1.99,0.32,0.21
D-0243,5,戸建,木造,屋根断熱,床断熱,0.29,0.42,0.41,0.53,0.76,1.9,1.66,0.29,0.19
D-0244,4,戸建,木造,天井断熱,床断熱,0.19,0.39,0.48,0.53,0.76,2.33,1.99,0.29,0.19
D-0245,5,戸建,木造,天井断熱,床断熱,0.23,0.42,0.55,0.53,0.76,2.15,1.85,0.32,0.21
D-0246,5,戸建,木造,天井断熱,床断熱,0.23,0.42,0.55,0.53,0.76,2.15,1.85,0.32,0.21
D-0250,5,戸建,木造,天井断熱,床断熱,0.45,0.56,0.57,0.53,0.76,4.07,3.21,0.63,0.3
D-0252,6,戸建,木造,天井断熱,床断熱,0.2,0.35,0.35,0.53,0.76,2.33,1.99,0.29,0.19
D-0254,5,戸建,木造,屋根断熱,床断熱,0.55,0.61,0.65,0.53,0.76,2.33,1.99,0.32,0.21
D-0255,5,戸建,木造,天井断熱,床断熱,0.23,0.51,0.46,0.53,0.76,3.49,2.82,0.51,0.3
D-0259,5,戸建,木造,天井断熱,床断熱,0.45,0.56,0.68,0.53,0.76,2.33,1.99,0.32,0.21
D-0261,5,戸建,木造,天井断熱,床断熱,0.24,0.56,0.68,0.53,0.76,4.07,3.21,0.63,0.3
D-0263,4,戸建,木造,天井断熱,床断熱,0.22,0.51,0.35,0.53,0.76,1.9,1.66,0.46,0.27
D-0264,4,戸建,木造,天井断熱,基礎断熱,0.22,0.35,-,0.32,0.32,1.9,1.66,0.46,0.27
D-0265,6,戸建,木造,屋根断熱,基礎断熱,0.24,0.42,-,0.52,0.52,2.33,1.99,0.51,0.3
D-0268,2,戸建,木造,天井断熱,基礎断熱,0.16,0.23,-,0.28,0.28,1.9,1.66,0.29,0.19
D-0270,7,戸建,木造,屋根断熱,床断熱,0.27,0.45,0.48,0.53,0.76,2.33,1.99,0.32,0.21
D-0271,3,戸建,木造,天井断熱,床断熱,0.25,0.39,0.48,0.37,0.53,2.83,2.35,0.3,0.2
D-0275,6,戸建,木造,天井断熱,床断熱,0.45,0.56,0.62,0.53,0.76,6.51,4.75,0.7,0.3
D-0276,6,戸建,木造,屋根断熱,床断熱,0.44,0.45,0.62,0.53,0.76,4.07,3.21,0.63,0.3
D-0279,6,戸建,木造,天井断熱,床断熱,0.41,0.51,0.6,0.53,0.76,3.49,2.82,0.32,0.21
D-0280,4,戸建,木造,屋根断熱,床断熱,0.37,0.29,0.62,0.53,0.76,1.74,1.53,0.24,0.16
D-0282,5,戸建,木造,天井断熱,床断熱,0.45,0.56,0.68,0.53,0.76,4.65,3.59,0.63,0.3
D-0284,5,戸建,木造,屋根断熱,床断熱,0.31,0.56,0.46,0.53,0.76,3.49,2.82,0.32,0.21
D-0285,5,戸建,木造,天井断熱,床断熱,0.41,0.51,0.46,0.53,0.76,3.49,2.82,0.32,0.21
D-0288,6,戸建,木造,天井断熱,床断熱,0.33,0.42,0.51,0.53,0.76,2.33,1.99,0.51,0.3
D-0290,5,戸建,木造,屋根断熱,基礎断熱,0.47,0.48,-,0.34,0.34,2.33,1.99,0.29,0.19
D-0291,6,戸建,木造,屋根断熱,床断熱,0.44,0.48,0.41,0.53,0.76,2.91,2.41,0.29,0.19
D-0292,5,戸建,木造,屋根断熱,床断熱,0.45,0.46,0.43,0.53,0.76,2.33,1.99,0.32,0.21
D-0293,2,戸建,木造,屋根断熱,床断熱,0.16,0.21,0.36,0.37,0.53,1.6,1.42,0.24,0.16
D-0297,5,戸建,木造,屋根断熱,基礎断熱,0.43,0.7,-,0.57,0.57,2.33,1.99,0.51,0.3
D-0299,6,戸建,木造,天井断熱,床断熱,0.23,0.45,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-0300,6,戸建,木造,天井断熱,床断熱,0.28,0.36,0.47,0.53,0.76,4.07,3.21,0.51,0.3
D-0301,5,戸建,木造,天井断熱,床断熱,0.23,0.51,0.47,0.53,0.76,3.49,2.82,0.32,0.21
D-0303,4,戸建,木造,天井断熱,床断熱,0.41,0.51,0.68,0.53,0.76,4.07,3.21,0.63,0.3
D-0305,5,戸建,木造,屋根断熱,床断熱,0.31,0.56,0.35,0.53,0.76,2.33,1.99,0.32,0.21
D-0307,6,戸建,木造,天井断熱,床断熱,0.28,0.39,0.9,0.53,0.76,3.49,2.82,0.32,0.21
D-0308,6,戸建,木造,天井断熱,床断熱,0.23,0.51,0.48,0.53,0.76,3.49,2.82,0.32,0.21
D-0311,6,戸建,木造,天井断熱,床断熱,0.45,0.56,0.68,0.53,0.76,6.51,4.75,0.39,0.24
D-0312,7,戸建,木造,天井断熱,床断熱,0.23,0.45,0.55,0.53,0.76,2.33,1.99,0.32,0.21
D-0313,6,戸建,木造,天井断熱,床断熱,0.38,0.48,0.46,0.53,0.76,3.49,2.82,0.32,0.21
D-0315,6,戸建,木造,天井断熱,基礎断熱,0.13,0.45,-,0.58,0.58,1.6,1.42,0.24,0.16
D-0316,6,戸建,木造,天井断熱,基礎断熱,0.13,0.45,-,0.58,0.58,1.6,1.42,0.24,0.16
D-0317,6,戸建,木造,天井断熱,床断熱,0.23,0.51,0.48,0.53,0.76,3.49,2.82,0.32,0.21
D-0318,4,戸建,木造,天井断熱,基礎断熱,0.15,0.19,-,0.34,0.34,1.9,1.66,0.29,0.19
D-0323,5,戸建,木造,天井断熱,床断熱,0.45,0.45,0.48,0.53,0.76,3.49,2.82,0.32,0.21
D-0324,5,戸建,木造,天井断熱,床断熱,0.45,0.39,0.48,0.53,0.76,3.49,2.82,0.32,0.21
D-0325,5,戸建,木造,天井断熱,床断熱,0.45,0.39,0.48,0.53,0.76,3.49,2.82,0.32,0.21
D-0331,6,戸建,木造,屋根断熱,床断熱,0.31,0.56,0.47,0.53,0.76,2.33,1.99,0.32,0.21
D-0334,4,戸建,木造,天井断熱,基礎断熱,0.24,0.39,-,0.49,0.49,2.33,1.99,0.32,0.21
D-0335,5,戸建,木造,天井断熱,床断熱,0.23,0.42,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-0340,6,戸建,木造,屋根断熱,基礎断熱,0.83,0.83,-,0.54,0.54,2.33,1.99,0.32,0.21
D-0341,6,戸建,木造,天井断熱,基礎断熱,0.23,0.29,-,0.39,0.39,2.15,1.85,0.51,0.3
D-0342,6,戸建,木造,天井断熱,床断熱,0.25,0.56,0.46,0.53,0.76,3.49,2.82,0.63,0.3
D-0347,4,戸建,木造,天井断熱,床断熱,0.31,0.61,0.29,0.53,0.76,2.33,1.99,0.46,0.27
D-0351,6,戸建,木造,屋根断熱,基礎断熱,0.24,0.37,-,0.52,0.52,2.33,1.99,0.46,0.27
D-0354,1,戸建,木造,屋根断熱,基礎断熱,0.14,0.33,-,0.15,0.15,2.27,1.94,0.3,0.2
D-0357,5,戸建,木造,天井断熱,床断熱,0.45,0.48,0.42,0.53,0.76,2.33,1.99,0.32,0.21
D-0360,4,戸建,木造,屋根断熱,床断熱,0.29,0.67,0.29,0.53,0.76,2.33,1.99,0.32,0.21
D-0361,7,戸建,木造,天井断熱,床断熱,0.23,0.42,0.48,0.53,0.76,4.07,3.21,0.63,0.3
D-0363,3,戸建,木造,天井断熱,床断熱,0.41,0.51,0.68,0.37,0.53,3.49,2.82,0.63,0.3
D-0364,3,戸建,木造,天井断熱,床断熱,0.22,0.51,0.43,0.37,0.53,2.33,1.99,0.51,0.3
D-0365,3,戸建,木造,天井断熱,床断熱,0.41,0.51,0.68,0.37,0.53,2.33,1.99,0.51,0.3
D-0368,5,戸建,木造,屋根断熱,基礎断熱,0.26,0.34,-,0.44,0.44,2.33,1.99,0.51,0.3
D-0370,3,戸建,木造,天井断熱,床断熱,0.25,0.45,0.33,0.37,0.53,2.15,1.85,0.32,0.21
D-0371,4,戸建,木造,屋根断熱,基礎断熱,0.31,0.56,-,0.44,0.44,1.9,1.66,0.46,0.27
D-0372,3,戸建,木造,屋根断熱,床断熱,0.25,0.5,0.35,0.37,0.53,1.9,1.66,0.46,0.27
D-0373,6,戸建,木造,天井断熱,床断熱,0.47,0.56,0.51,0.53,0.76,4.07,3.21,0.63,0.3
D-0374,6,戸建,木造,屋根断熱,床断熱,0.5,0.56,0.55,0.53,0.76,4.65,3.59,0.63,0.3
D-0375,3,戸建,木造,屋根断熱,床断熱,0.31,0.32,0.33,0.37,0.53,1.9,1.66,0.46,0.27
D-0376,3,戸建,木造,天井断熱,床断熱,0.33,0.33,0.32,0.37,0.53,2.83,2.35,0.3,0.2
D-0378,6,戸建,木造,天井断熱,床断熱,0.28,0.36,0.48,0.53,0.76,2.33,1.99,0.32,0.21
D-0379,3,戸建,木造,天井断熱,床断熱,0.24,0.31,0.3,0.37,0.53,4.07,3.21,0.63,0.3
D-0381,3,戸建,木造,天井断熱,床断熱,0.31,0.61,0.55,0.37,0.53,2.15,1.85,0.51,0.3
D-0382,4,戸建,木造,屋根断熱,床断熱,0.23,0.19,0.31,0.53,0.76,1.9,1.66,0.46,0.27
D-0383,4,戸建,木造,屋根断熱,基礎断熱,0.23,0.19,-,0.33,0.33,1.9,1.66,0.46,0.27
D-0385,3,戸建,木造,天井断熱,床断熱,0.41,0.61,0.47,0.37,0.53,2.33,1.99,0.32,0.21
D-0387,6,戸建,木造,天井断熱,床断熱,0.19,0.45,0.33,0.53,0.76,2.33,1.99,0.32,0.21
D-0388,6,戸建,木造,屋根断熱,基礎断熱,0.48,0.56,-,0.58,0.58,2.33,1.99,0.32,0.21
D-0392,3,戸建,木造,屋根断熱,基礎断熱,0.11,0.18,-,0.29,0.29,1.6,1.42,0.39,0.24
D-0394,3,戸建,木造,屋根断熱,基礎断熱,0.32,0.48,-,0.44,0.44,2.91,2.41,0.46,0.27
D-0395,3,戸建,木造,天井断熱,床断熱,0.23,0.42,0.48,0.37,0.53,2.33,1.99,0.51,0.3
D-0396,3,戸建,木造,天井断熱,基礎断熱,0.31,0.56,-,0.44,0.44,2.33,1.99,0.51,0.3
D-0397,5,戸建,木造,天井断熱,床断熱,0.19,0.39,0.46,0.53,0.76,1.9,1.66,0.29,0.19
D-0400,6,戸建,木造,天井断熱,床断熱,0.41,0.7,0.68,0.53,0.76,4.07,3.21,0.63,0.3
D-0402,4,戸建,木造,天井断熱,床断熱,0.22,0.46,0.43,0.53,0.76,2.33,1.99,0.29,0.19
D-0403,6,戸建,木造,屋根断熱,基礎断熱,0.4,0.52,-,0.44,0.44,2.33,1.99,0.29,0.19
D-0408,6,戸建,木造,天井断熱,床断熱,0.31,0.56,0.81,0.53,0.76,3.49,2.82,0.32,0.21
D-0409,6,戸建,木造,天井断熱,床断熱,0.38,0.48,0.48,0.53,0.76,3.49,2.82,0.32,0.21
D-0412,5,戸建,木造,天井断熱,床断熱,0.3,0.52,0.55,0.53,0.76,2.15,1.85,0.32,0.21
D-0413,4,戸建,木造,天井断熱,床断熱,0.19,0.45,0.46,0.53,0.76,3.49,2.82,0.32,0.21
D-0416,4,戸建,木造,天井断熱,床断熱,0.54,0.67,0.6,0.53,0.76,4.07,3.21,0.63,0.3
D-0418,4,戸建,木造,天井断熱,床断熱,0.23,0.42,0.53,0.53,0.76,2.15,1.85,0.32,0.21
D-0423,4,戸建,木造,天井断熱,床断熱,0.25,0.5,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-0424,6,戸建,木造,屋根断熱,基礎断熱,0.55,0.56,-,0.52,0.52,2.33,1.99,0.46,0.27
D-0425,5,戸建,木造,天井断熱,床断熱,0.33,0.42,0.92,0.53,0.76,2.33,1.99,0.32,0.21
D-0426,6,戸建,木造,天井断熱,床断熱,0.45,0.56,0.6,0.53,0.76,4.65,3.59,0.63,0.3
D-0427,5,戸建,木造,天井断熱,基礎断熱,0.23,0.42,-,0.52,0.52,2.33,1.99,0.51,0.3
D-0428,6,戸建,木造,屋根断熱,基礎断熱,0.27,0.39,-,0.48,0.48,2.33,1.99,0.32,0.21
D-0429,6,戸建,木造,屋根断熱,基礎断熱,0.27,0.39,-,0.48,0.48,2.33,1.99,0.32,0.21
D-0430,6,戸建,木造,屋根断熱,基礎断熱,0.27,0.39,-,0.48,0.48,2.33,1.99,0.32,0.21
D-0431,6,戸建,木造,屋根断熱,基礎断熱,0.27,0.39,-,0.48,0.48,2.33,1.99,0.32,0.21
D-0433,6,戸建,木造,屋根断熱,基礎断熱,0.27,0.39,-,0.48,0.48,2.33,1.99,0.32,0.21
D-0434,6,戸建,木造,屋根断熱,基礎断熱,0.27,0.39,-,0.48,0.48,2.33,1.99,0.32,0.21
